quiz_id,level,chapter,questions,choices,answers,explanations
1,1,1. 변수와 데이터 타입,파이썬에서 변수 이름으로 사용할 수 없는 것은?,A) my_var\nB) _value\nC) 2ndvalue\nD) studentName,C,숫자로 시작하는 변수명(2ndvalue)은 사용할 수 없습니다.
2,1,1. 변수와 데이터 타입,파이썬에서 정수형을 의미하는 데이터 타입은?,A) int\nB) float\nC) str\nD) bool,A,int는 정수형을 표현하는 데이터 타입입니다.
3,1,1. 변수와 데이터 타입,다음 중 불리언(Boolean) 값인 것은?,A) True\nB) 'False'\nC) 0\nD) '0',A,"True만이 불리언 값이며, 따옴표가 있으면 문자열입니다."
4,1,1. 변수와 데이터 타입,다음 코드 실행 결과 x의 타입은? x=3.14  type(x),A) int\nB) float\nC) str\nD) bool,B,3.14는 실수이므로 타입은 float입니다.
5,1,1. 변수와 데이터 타입,다음 중 문자열(string)인 것은?,A) '123'\nB) 123\nC) 12.3\nD) True,A,따옴표로 둘러싸인 '123'은 문자열입니다.
6,1,1. 변수와 데이터 타입,변수 x=10일 때 type(x)의 출력은?,A) int\nB) float\nC) str\nD) bool,A,10은 정수이므로 타입은 int입니다.
7,1,1. 변수와 데이터 타입,파이썬에서 여러 줄 문자열을 작성할 때 사용하는 기호는?,"A) ''' 또는 \\""\""\nB) //\nC) /* */\nD) --""",A,"''' 또는 \\""\""를 사용해서 여러 줄 문자열을 작성합니다."""
8,1,1. 변수와 데이터 타입,파이썬에서 변수 이름으로 권장되지 않는 것은?,A) total_sum\nB) tempVar\nC) Print\nD) numberOfItems,C,Print는 내장 함수 이름이므로 변수명으로 사용하면 혼동될 수 있습니다.
9,2,1. 변수와 데이터 타입,다음 중 불변(immutable)한 데이터 타입은?,A) list\nB) set\nC) str\nD) dict,C,str(문자열)은 값을 변경할 수 없는 자료형입니다.
10,2,1. 변수와 데이터 타입,파이썬에서 자료형을 확인하는 함수는?,A) typeof()\nB) type()\nC) dataType()\nD) checkType(),B,type() 함수를 사용해 변수의 자료형을 확인합니다.
11,2,1. 변수와 데이터 타입,변수명으로 올바른 것은?,A) first-name\nB) first name\nC) firstName\nD) 2first,C,firstName은 공백이나 특수문자가 없어 올바른 변수명입니다.
12,2,1. 변수와 데이터 타입,다음 중 mutable(가변) 자료형은?,A) tuple\nB) str\nC) list\nD) int,C,list는 값을 변경할 수 있어 가변 자료형입니다.
13,2,1. 변수와 데이터 타입,파이썬에서 불리언 연산 결과와 같은 값은?  bool(0),A) True\nB) False\nC) 1\nD) 2,B,0은 False로 평가됩니다.
14,2,1. 변수와 데이터 타입,"x=""10"" 일 때 int(x)의 값은?",A) 10\nB) '10'\nC) 에러\nD) 0,A,문자열 '10'을 int로 변환하면 10(정수)가 됩니다.
15,2,1. 변수와 데이터 타입,다음 중 float 형의 값이 아닌 것은?,A) 3.5\nB) 0.0\nC) -2.7\nD) '3.5',D,'3.5'는 문자열이므로 float이 아닙니다.
16,2,1. 변수와 데이터 타입,문자열 연결 연산자인 것은?,A) +\nB) *\nC) &\nD) ||,A,+ 연산자를 사용해 두 문자열을 연결합니다.
17,3,1. 변수와 데이터 타입,다음 중 reserved word(예약어)는?,A) class\nB) Class\nC) myClass\nD) className,A,"class는 파이썬 예약어로, 변수명으로 사용할 수 없습니다."
18,3,1. 변수와 데이터 타입,문자열의 길이를 구하는 함수는?,A) count()\nB) size()\nC) len()\nD) length(),C,len() 함수를 사용해 문자열의 길이를 셀 수 있습니다.
19,3,1. 변수와 데이터 타입,파이썬에서 소수점 이하 자리수 없이 정수를 표현하는 리터럴은?,A) float\nB) int\nC) bool\nD) char,B,int는 정수를 나타내는 리터럴입니다.
20,3,1. 변수와 데이터 타입,다음 코드 출력 결과는? x=None  print(type(x),"A) <class 'str'>\nB) <class 'int'>\nC) <class 'NoneType'>\nD)<class,'bool'>",C,None의 타입은 NoneType입니다.
21,3,1. 변수와 데이터 타입,"다음 코드 출력은? a=""3""  b=4  print(a*b)",A) 12\nB) 3333\nC) 에러\nD) 7,B,문자열 '3'이 4번 반복되어 '3333'이 출력됩니다.
22,3,1. 변수와 데이터 타입,파이썬에서 튜플(tuple)과 리스트(list)의 가장 큰 차이점은?,"A) 튜플은 가변, 리스트는 불변\nB) 튜플은 불변, 리스트는 가변\nC) 둘 다 가변\nD) 둘 다 불변",B,"튜플은 불변, 리스트는 가변 자료형입니다."
23,3,1. 변수와 데이터 타입,파이썬에서 함수형 프로그래밍 스타일을 지원하는 데이터 타입은?,A) dict\nB) tuple\nC) set\nD) list,B,tuple은 함수형 프로그래밍에서 많이 사용됩니다.
24,3,1. 변수와 데이터 타입,파이썬에서 변수의 스코프(scope)에 영향을 주는 키워드는?,A) global\nB) static\nC) private\nD) extern,A,global 키워드는 변수의 범위(scope)를 지정하는 데 사용됩니다.
25,3,1. 변수와 데이터 타입,파이썬에서 리스트 컴프리헨션(List comprehension)의 용도로 가장 적절한 것은?,A) 반복문을 간단히 표현\nB) 변수 선언\nC) 클래스 정의\nD) 함수 호출,A,반복문을 간단하게 한 줄로 나타낼 때 사용합니다.
